id,name,character_id,character_slug,group_mask,archetype_id,archetype,variation_id,variation,aggression,reaction_min,reaction_max,input_error_rate,approach,backdash,sidestep_left,sidestep_right,low_frequency,throw_frequency,delay_frequency,stance_entry_frequency,heat_usage,punish_accuracy,throw_break_accuracy,low_block_accuracy
0,kazuya_rushdown_01,0,kazuya,65,0,rushdown,0,balanced,0.8938823529411765,12,19,0.03201960784313726,0.6032156862745098,0.09788235294117648,0.1100392156862745,0.16501960784313724,0.22015686274509802,0.13545098039215686,0.3127843137254902,0.694392156862745,0.8627843137254902,0.7889019607843137,0.5196862745098039,0.43768627450980385
1,kazuya_rushdown_02,0,kazuya,65,0,rushdown,1,precise,0.9271372549019609,10,17,0.0,0.592078431372549,0.1135686274509804,0.10235294117647059,0.19592156862745097,0.23160784313725488,0.1316862745098039,0.2795294117647059,0.7174509803921568,0.8310980392156864,0.8599607843137255,0.5985882352941176,0.5110980392156862
2,kazuya_rushdown_03,0,kazuya,65,0,rushdown,2,patient,0.7607058823529412,14,21,0.005117647058823529,0.6018039215686274,0.10227450980392158,0.13372549019607843,0.16,0.23709803921568626,0.1384313725490196,0.40188235294117647,0.7133725490196078,0.8583921568627452,0.835764705882353,0.5347058823529411,0.49788235294117644
3,kazuya_rushdown_04,0,kazuya,65,0,rushdown,3,risky,1.0,11,18,0.03684313725490196,0.6163921568627451,0.0996078431372549,0.10784313725490195,0.17270588235294118,0.25372549019607843,0.10047058823529412,0.3549803921568627,0.698,0.8560392156862746,0.6846666666666668,0.399921568627451,0.33862745098039215
4,kazuya_rushdown_05,0,kazuya,65,0,rushdown,4,adaptive,0.8928627450980392,13,20,0.0063333333333333314,0.5886274509803922,0.08768627450980393,0.13278431372549018,0.18980392156862744,0.24149019607843136,0.10658823529411764,0.38086274509803925,0.6929803921568627,0.8593333333333334,0.7756470588235295,0.5138039215686274,0.45596078431372544
5,kazuya_defensive_turtle_01,0,kazuya,65,1,defensive_turtle,0,balanced,0.25905882352941173,11,17,0.0,0.1095686274509804,0.3488627450980392,0.2436470588235294,0.3027843137254902,0.08109803921568629,0.055254901960784315,0.42023529411764704,0.27858823529411764,0.517921568627451,0.9305490196078432,0.7034509803921568,0.6566666666666667
6,kazuya_defensive_turtle_02,0,kazuya,65,1,defensive_turtle,1,precise,0.2692549019607843,9,15,0.0,0.12886274509803922,0.3466666666666667,0.25086274509803924,0.2729803921568627,0.11858823529411766,0.06325490196078432,0.3894901960784314,0.2763921568627451,0.5094509803921569,1.0,0.8057254901960784,0.7292941176470588
7,kazuya_defensive_turtle_03,0,kazuya,65,1,defensive_turtle,2,patient,0.128078431372549,13,19,0.02803921568627451,0.1348235294117647,0.32392156862745103,0.254156862745098,0.306078431372549,0.1107450980392157,0.04411764705882353,0.5537254901960784,0.2795294117647059,0.497843137254902,0.9894901960784315,0.769921568627451,0.6801568627450981
8,kazuya_defensive_turtle_04,0,kazuya,65,1,defensive_turtle,3,risky,0.3775686274509804,10,16,0.010666666666666663,0.11584313725490196,0.3207843137254902,0.23047058823529412,0.302,0.11858823529411766,0.055725490196078434,0.4649411764705882,0.26666666666666666,0.5114901960784314,0.8211372549019609,0.6023529411764705,0.5696862745098039
9,kazuya_defensive_turtle_05,0,kazuya,65,1,defensive_turtle,4,adaptive,0.2437647058823529,12,18,0.035529411764705886,0.13247058823529412,0.3264313725490196,0.2351764705882353,0.2756470588235294,0.1011764705882353,0.06325490196078432,0.48627450980392156,0.26854901960784316,0.5031764705882353,0.941607843137255,0.7554509803921569,0.6798039215686275
